date,Spots,Return
2012-01-04,ARS_Spot,5.578022590990717e-4
2012-01-11,ARS_Spot,0.001626016260162677
2012-01-18,ARS_Spot,0.001924860853432131
2012-01-25,ARS_Spot,0.003865472305164097
2012-02-01,ARS_Spot,-6.917223887480395e-4
2012-02-08,ARS_Spot,0.001845869866174521
2012-02-15,ARS_Spot,0.002141870105942134
2012-02-22,ARS_Spot,5.05596028772981e-4
2012-02-29,ARS_Spot,6.891007235556579e-4
2012-03-07,ARS_Spot,-0.004430161827154722
2012-03-14,ARS_Spot,0.004588213594023838
2012-03-21,ARS_Spot,0.0021573982694913507
2012-03-28,ARS_Spot,0.0014886064353600847
2012-04-04,ARS_Spot,0.0032014635261834457
2012-04-11,ARS_Spot,1.1397310234784186e-4
2012-04-18,ARS_Spot,0.0031908831908833424
2012-04-25,ARS_Spot,0.0024764284902871747
2012-05-02,ARS_Spot,0.0025609645544375503
2012-05-09,ARS_Spot,0.003684698329452729
2012-05-16,ARS_Spot,0.0013963963963963266
2012-05-23,ARS_Spot,0.004970536638027934
2012-05-30,ARS_Spot,4.475975203097615e-4
2012-06-06,ARS_Spot,0.004742411023868742
2012-06-13,ARS_Spot,-6.011354781253475e-4
2012-06-20,ARS_Spot,0.0030520406344678452
2012-06-27,ARS_Spot,0.002576346474181035
2012-07-04,ARS_Spot,0.0021266697680599744
2012-07-11,ARS_Spot,0.0037137741229524845
2012-07-18,ARS_Spot,0.0030833608633411558
2012-07-25,ARS_Spot,0.002854319903392133
2012-08-01,ARS_Spot,0.0026053639846743692
2012-08-08,ARS_Spot,0.0038214613268114928
2012-08-15,ARS_Spot,0.002632208662359359
2012-08-22,ARS_Spot,0.0016272510305923582
2012-08-29,ARS_Spot,0.0026860175457597
2012-09-05,ARS_Spot,0.004860766056730581
2012-09-12,ARS_Spot,0.002128391452036027
2012-09-19,ARS_Spot,0.004226288803552691
2012-09-26,ARS_Spot,0.001730399487289036
2012-10-03,ARS_Spot,0.0028576912413895705
2012-10-10,ARS_Spot,0.0023817118553961514
2012-10-17,ARS_Spot,0.003755011986337653
2012-10-24,ARS_Spot,0.003402798326076928
2012-10-31,ARS_Spot,0.0039599789362820825
