date,Index,Return
2012-01-04,Supp_.G7FXVOL3 Index,-0.021505547128755298
2012-01-11,Supp_.G7FXVOL3 Index,-0.09350474381761675
2012-01-18,Supp_.G7FXVOL3 Index,-0.03839129033413324
2012-01-25,Supp_.G7FXVOL3 Index,0.0011638300249525724
2012-02-01,Supp_.G7FXVOL3 Index,-0.007170158747872635
2012-02-08,Supp_.G7FXVOL3 Index,-0.0443339140860638
2012-02-15,Supp_.G7FXVOL3 Index,0.02601323205096784
2012-02-22,Supp_.G7FXVOL3 Index,-0.04613150679696987
2012-02-29,Supp_.G7FXVOL3 Index,0.0024236354531799176
2012-03-07,Supp_.G7FXVOL3 Index,0.02801422691124178
2012-03-14,Supp_.G7FXVOL3 Index,-0.0025073860985850294
2012-03-21,Supp_.G7FXVOL3 Index,-0.041329721935345454
2012-03-28,Supp_.G7FXVOL3 Index,-0.006860034960770811
2012-04-04,Supp_.G7FXVOL3 Index,0.024088988037371806
2012-04-11,Supp_.G7FXVOL3 Index,0.0034973769672745902
2012-04-18,Supp_.G7FXVOL3 Index,-0.05007717201891959
2012-04-25,Supp_.G7FXVOL3 Index,-0.026866954589290892
2012-05-02,Supp_.G7FXVOL3 Index,-0.010007217261103318
2012-05-09,Supp_.G7FXVOL3 Index,0.08768932799442886
2012-05-16,Supp_.G7FXVOL3 Index,0.09490511489251019
2012-05-23,Supp_.G7FXVOL3 Index,0.06453174965737762
2012-05-30,Supp_.G7FXVOL3 Index,-5.750431282345314e-4
2012-06-06,Supp_.G7FXVOL3 Index,-0.009515140064922933
2012-06-13,Supp_.G7FXVOL3 Index,-0.03652742374585993
2012-06-20,Supp_.G7FXVOL3 Index,-0.11117210348706419
2012-06-27,Supp_.G7FXVOL3 Index,0.005608933796357185
2012-07-04,Supp_.G7FXVOL3 Index,-0.04731940599043538
2012-07-11,Supp_.G7FXVOL3 Index,-0.01170937912813752
2012-07-18,Supp_.G7FXVOL3 Index,-0.07454259653325057
2012-07-25,Supp_.G7FXVOL3 Index,0.11612321771081269
2012-08-01,Supp_.G7FXVOL3 Index,-0.01638784214667266
2012-08-08,Supp_.G7FXVOL3 Index,-0.08433582772883719
2012-08-15,Supp_.G7FXVOL3 Index,0.011160919540230019
2012-08-22,Supp_.G7FXVOL3 Index,-0.02686112468881785
2012-08-29,Supp_.G7FXVOL3 Index,0.034950004672460455
2012-09-05,Supp_.G7FXVOL3 Index,-0.006625282167042834
2012-09-12,Supp_.G7FXVOL3 Index,-0.0992807880653993
2012-09-19,Supp_.G7FXVOL3 Index,-0.01450646483759066
2012-09-26,Supp_.G7FXVOL3 Index,0.023897599999999963
2012-10-03,Supp_.G7FXVOL3 Index,-0.01948944894489446
2012-10-10,Supp_.G7FXVOL3 Index,-0.030280621677100217
2012-10-17,Supp_.G7FXVOL3 Index,-0.02442872544636998
2012-10-24,Supp_.G7FXVOL3 Index,0.02667115902964956
2012-10-31,Supp_.G7FXVOL3 Index,-0.031609761220283694
2012-11-07,Supp_.G7FXVOL3 Index,-0.007848612598446603
2012-11-14,Supp_.G7FXVOL3 Index,-0.030973330418625045
2012-11-21,Supp_.G7FXVOL3 Index,-0.012280578075431814
2012-11-28,Supp_.G7FXVOL3 Index,-0.018614211893681953
2012-12-05,Supp_.G7FXVOL3 Index,0.012785454545454655
2012-12-12,Supp_.G7FXVOL3 Index,-5.313877838257763e-4
2012-12-19,Supp_.G7FXVOL3 Index,-0.030420163237153686
2012-12-26,Supp_.G7FXVOL3 Index,0.09274546128195627
2013-01-02,Supp_.G7FXVOL3 Index,-0.02475146813502771
2013-01-09,Supp_.G7FXVOL3 Index,-0.009901540857762736
2013-01-16,Supp_.G7FXVOL3 Index,0.08065059834822175
2013-01-23,Supp_.G7FXVOL3 Index,-0.015596974187007673
2013-01-30,Supp_.G7FXVOL3 Index,0.051427288811428884
2013-02-06,Supp_.G7FXVOL3 Index,0.09000037672824068
2013-02-13,Supp_.G7FXVOL3 Index,-0.0420046082949308
2013-02-20,Supp_.G7FXVOL3 Index,0.02365490535632686
2013-02-27,Supp_.G7FXVOL3 Index,0.060455116833683764
2013-03-06,Supp_.G7FXVOL3 Index,-0.05950125738088119
2013-03-13,Supp_.G7FXVOL3 Index,-0.014288070109310214
2013-03-20,Supp_.G7FXVOL3 Index,0.008723396627750013
2013-03-27,Supp_.G7FXVOL3 Index,-0.0058284861336525
2013-04-03,Supp_.G7FXVOL3 Index,-0.05178679948999654
2013-04-10,Supp_.G7FXVOL3 Index,0.0297455230914232
2013-04-17,Supp_.G7FXVOL3 Index,0.04041883283297931
2013-04-24,Supp_.G7FXVOL3 Index,-0.015096065873742015
2013-05-01,Supp_.G7FXVOL3 Index,-0.05786797194135784
2013-05-08,Supp_.G7FXVOL3 Index,0.007647772665217101
2013-05-15,Supp_.G7FXVOL3 Index,0.15795416055097644
2013-05-22,Supp_.G7FXVOL3 Index,0.03291298318599423
2013-05-29,Supp_.G7FXVOL3 Index,0.019141616496402447
